fl_date,day_of_the_week,Month,mkt_unique_carrier,origin,dest,crs_dep_time,taxi_out,taxi_in,crs_arr_time,air_time,distance,origin_city,origin_state,dest_city,dest_state,origin_weather_condn,origin_tempC,origin_windspeedMiles,origin_winddir16Point,origin_WindGustMiles,origin_WindChillC,origin_precipInches,origin_humidity,origin_visibilityMiles,origin_pressureInches,origin_DewPointC,origin_cloudcover,origin_uvIndex,dest_weather_condn,dest_tempC,dest_windspeedMiles,dest_winddir16Point,dest_WindGustMiles,dest_WindChillC,dest_precipInches,dest_humidity,dest_visibilityMiles,dest_pressureInches,dest_DewPointC,dest_cloudcover,dest_uvIndex
2018-12-01,Saturday,December,AA,DAY,PHL,554,11,9,735,64,477,Dayton, OH,Philadelphia, PA,Overcast,3,6,E,9,-0,0.0,94,6,30,3,100,1,Partly cloudy,3,3,N,5,1,0.0,80,6,30,-1,32,2
2018-11-01,Thursday,November,AA,LAS,ORD,654,28,16,1240,192,1514,Las Vegas, NV,Chicago, IL,Sunny,13,4,NNW,8,13,0.0,25,6,30,-6,5,4,Overcast,9,12,NE,16,6,0.0,71,6,30,4,95,2
2018-08-01,Wednesday,August,AA,DAY,CLT,902,13,10,1041,70,370,Dayton, OH,Charlotte, NC,Mist,18,3,W,4,18,0.0,97,1,30,18,89,4,Partly cloudy,23,4,SSW,5,23,0.0,93,6,30,22,62,6
2018-04-01,Sunday,April,AA,DFW,XNA,2220,21,5,2326,41,280,Dallas/Fort Worth, TX,Fayetteville, AR,Overcast,11,13,N,17,9,0.0,70,6,30,6,100,1,Overcast,1,11,NNE,14,-3,0.0,93,6,30,0,100,1
2018-08-01,Wednesday,August,AA,ORF,CLT,927,11,32,1059,55,290,Norfolk, VA,Charlotte, NC,Sunny,25,11,SW,16,25,0.0,87,6,30,23,11,7,Partly cloudy,23,4,SSW,5,23,0.0,93,6,30,22,62,6
2018-08-01,Wednesday,August,AA,CLT,ORF,745,38,3,857,50,290,Charlotte, NC,Norfolk, VA,Partly cloudy,23,4,SSW,5,23,0.0,93,6,30,22,62,6,Sunny,25,11,SW,16,25,0.0,87,6,30,23,11,7
2018-08-01,Wednesday,August,AA,TYS,DCA,1829,11,5,2000,79,437,Knoxville, TN,Washington, DC,Light drizzle,21,2,ESE,2,21,0.0,94,1,30,20,78,1,Clear,29,7,S,11,29,0.0,67,6,30,22,21,1
2018-05-01,Tuesday,May,AA,OKC,DFW,2026,11,13,2130,37,175,Oklahoma City, OK,Dallas/Fort Worth, TX,Light rain shower,22,18,SSE,27,22,0.0,82,6,30,19,100,1,Light rain shower,23,12,SSE,18,23,0.0,85,6,30,20,100,1
2018-10-01,Monday,October,AA,DTW,PHL,801,15,3,940,67,453,Detroit, MI,Philadelphia, PA,Overcast,12,9,ENE,12,10,0.0,86,6,30,10,100,3,Sunny,19,6,SSW,7,19,0.0,84,6,30,17,13,5
2018-11-01,Thursday,November,AA,MEM,DFW,737,19,15,930,80,431,Memphis, TN,Dallas/Fort Worth, TX,Light rain,17,7,NNW,10,17,0.1,91,5,30,16,100,4,Sunny,9,12,WNW,20,6,0.0,80,6,30,6,15,3
2018-04-01,Sunday,April,AA,DSM,ORD,934,26,12,1053,57,299,Des Moines, IA,Chicago, IL,Overcast,-5,8,N,10,-10,0.0,36,6,30,-18,100,1,Partly cloudy,-3,11,NNW,13,-8,0.0,58,6,30,-10,31,2
2018-02-01,Thursday,February,AA,BUF,ORD,1149,22,16,1245,88,474,Buffalo, NY,Chicago, IL,Partly cloudy,1,10,SW,18,-4,0.0,85,6,30,-2,29,2,Sunny,-8,15,NW,17,-16,0.0,42,6,30,-18,0,2
2018-01-01,Monday,January,AA,DCA,MHT,2215,14,2,2340,66,406,Washington, DC,Manchester, NH,Cloudy,-8,7,WNW,12,-13,0.0,51,6,30,-16,79,1,Clear,-17,7,WNW,12,-25,0.0,74,6,30,-20,5,1
2018-01-01,Monday,January,AA,CLT,TOL,1135,41,3,1322,87,466,Charlotte, NC,Toledo, OH,Sunny,-7,8,NE,11,-12,0.0,37,6,30,-19,7,2,Overcast,-12,11,WNW,15,-20,0.0,79,6,31,-15,93,1
2018-05-01,Tuesday,May,AA,PVD,ORD,1625,15,14,1809,120,849,Providence, RI,Chicago, IL,Partly cloudy,17,5,W,6,17,0.0,50,6,30,7,36,5,Clear,21,15,SSW,32,21,0.0,51,6,30,10,8,1
2018-05-01,Tuesday,May,AA,ORD,SYR,1500,22,3,1739,82,607,Chicago, IL,Syracuse, NY,Sunny,21,13,SSW,28,21,0.0,49,6,30,10,4,6,Partly cloudy,21,7,W,9,21,0.0,48,6,30,10,47,6
2018-11-01,Thursday,November,AA,LBB,DFW,808,26,14,934,51,282,Lubbock, TX,Dallas/Fort Worth, TX,Sunny,5,6,WNW,12,2,0.0,80,6,30,1,11,2,Sunny,9,12,WNW,20,6,0.0,80,6,30,6,15,3
2018-02-01,Thursday,February,AA,ORD,BUF,845,22,2,1117,61,474,Chicago, IL,Buffalo, NY,Partly cloudy,-1,14,WNW,21,-8,0.0,66,6,30,-6,28,2,Partly cloudy,1,10,SW,18,-4,0.0,85,6,30,-2,29,2
2018-10-01,Monday,October,AA,DFW,JLN,2042,28,5,2159,55,327,Dallas/Fort Worth, TX,Joplin, MO,Patchy rain possible,26,2,SE,4,26,0.0,74,5,30,21,17,1,Clear,23,8,S,16,23,0.0,86,6,30,20,11,1
2018-06-01,Friday,June,AA,RDU,LGA,740,35,12,929,72,431,Raleigh/Durham, NC,New York, NY,Sunny,23,4,WNW,5,23,0.0,87,6,30,21,6,6,Moderate or heavy rain shower,19,3,E,5,19,0.2,92,4,30,18,98,4
2018-06-01,Friday,June,AA,DFW,LIT,655,14,5,812,54,304,Dallas/Fort Worth, TX,Little Rock, AR,Cloudy,23,10,S,15,23,0.0,92,6,30,22,70,5,Moderate or heavy rain shower,23,4,W,8,23,0.1,94,4,30,22,41,5
2019-04-29,Monday,April,AA,ORD,MIA,1643,12,6,2050,144,1197,Chicago, IL,Miami, FL,Heavy rain,6,7,ESE,12,3,0.8,92,3,30,5,100,2,Clear,27,14,E,17,27,0.0,68,6,30,20,15,1
2019-10-01,Tuesday,October,AA,CAE,DCA,921,10,7,1050,76,408,Columbia, SC,Washington, DC,Partly cloudy,24,6,ENE,10,24,0.0,89,6,30,22,59,6,Partly cloudy,20,4,SSE,5,20,0.0,78,6,30,16,45,5
2019-02-01,Friday,February,AA,CLT,JFK,740,14,9,939,76,541,Charlotte, NC,New York, NY,Partly cloudy,-3,5,SSW,8,-4,0.0,75,6,30,-5,5,2,Partly cloudy,-12,9,WNW,11,-18,0.0,52,6,30,-20,33,2
2019-06-01,Saturday,June,AA,SDF,DFW,1033,13,14,1150,112,733,Louisville, KY,Dallas/Fort Worth, TX,Sunny,19,4,WSW,7,19,0.0,85,6,30,16,5,5,Sunny,22,5,SE,9,22,0.0,94,6,30,20,18,6
2019-11-01,Friday,November,AA,DFW,MAF,840,19,3,951,55,309,Dallas/Fort Worth, TX,Midland/Odessa, TX,Sunny,2,9,S,19,-3,0.0,58,6,30,-6,0,2,Sunny,4,14,S,28,0,0.0,35,6,30,-10,0,2
2019-11-01,Friday,November,AA,DFW,HOU,656,21,2,812,43,247,Dallas/Fort Worth, TX,Houston, TX,Sunny,2,9,S,19,-3,0.0,58,6,30,-6,0,2,Sunny,7,6,ENE,7,5,0.0,56,6,30,-1,0,3
2019-06-01,Saturday,June,AA,DFW,SDF,655,14,6,1003,93,733,Dallas/Fort Worth, TX,Louisville, KY,Sunny,22,5,SE,9,22,0.0,94,6,30,20,18,6,Sunny,19,4,WSW,7,19,0.0,85,6,30,16,5,5
2019-11-01,Friday,November,AA,BHM,DFW,1455,11,11,1700,100,597,Birmingham, AL,Dallas/Fort Worth, TX,Sunny,12,6,WSW,7,11,0.0,43,6,30,-0,0,4,Sunny,12,14,S,16,9,0.0,38,6,30,-2,0,4
2019-01-01,Tuesday,January,AA,CLT,MLB,1140,30,3,1328,76,490,Charlotte, NC,Melbourne, FL,Overcast,17,7,SW,20,17,0.0,95,6,30,17,95,4,Partly cloudy,25,8,S,5,25,0.0,66,6,30,19,42,7
2019-08-01,Thursday,August,AA,PHX,ONT,1440,14,6,1551,50,325,Phoenix, AZ,Ontario, CA,Sunny,36,2,NNW,2,36,0.0,38,6,30,19,21,9,Sunny,36,7,WSW,8,36,0.0,19,6,30,8,0,9
2019-02-01,Friday,February,AA,MCO,LAX,1600,20,5,1835,291,2218,Orlando, FL,Los Angeles, CA,Light rain shower,20,9,E,13,21,0.0,72,6,30,15,65,4,Patchy rain possible,15,5,SE,5,16,0.0,71,6,30,10,75,1
2019-06-01,Saturday,June,AA,TUL,DFW,1433,28,17,1549,44,237,Tulsa, OK,Dallas/Fort Worth, TX,Sunny,30,10,SSW,12,30,0.0,57,6,30,20,7,7,Patchy light rain with thunder,32,8,S,11,32,0.1,51,6,30,20,11,7
2019-08-01,Thursday,August,AA,LAX,DFW,1307,13,8,1823,155,1235,Los Angeles, CA,Dallas/Fort Worth, TX,Sunny,30,7,SW,8,30,0.0,39,6,30,14,0,7,Clear,35,13,SE,15,35,0.0,38,6,30,18,8,1
2019-05-01,Wednesday,May,AA,DCA,PIT,2000,17,6,2107,37,204,Washington, DC,Pittsburgh, PA,Clear,22,6,E,8,22,0.0,77,6,30,17,13,1,Partly cloudy,24,10,WSW,13,24,0.0,61,6,30,16,25,1
2019-01-01,Tuesday,January,AA,MYR,CLT,2157,10,20,2311,40,157,Myrtle Beach, SC,Charlotte, NC,Light rain shower,19,1,W,11,19,0.0,95,6,30,18,67,1,Clear,16,6,WSW,6,16,0.0,82,6,30,13,21,1
2019-09-01,Sunday,September,AA,JFK,LAX,1229,16,4,1526,315,2475,New York, NY,Los Angeles, CA,Partly cloudy,23,12,ESE,13,23,0.0,61,6,30,16,45,6,Sunny,31,6,SW,7,31,0.0,44,6,30,18,22,8
2019-09-01,Sunday,September,AA,OGG,DFW,1755,15,8,610,397,3711,Kahului, HI,Dallas/Fort Worth, TX,Sunny,26,12,E,14,26,0.0,78,6,30,22,19,7,Sunny,23,3,SE,4,23,0.0,86,6,30,21,10,6
2019-10-01,Tuesday,October,AA,ROC,CLT,1137,10,15,1343,86,573,Rochester, NY,Charlotte, NC,Light rain shower,19,11,SSW,19,19,0.1,94,6,30,18,39,4,Light rain shower,28,4,ENE,5,28,0.1,73,6,30,23,69,6
2019-02-01,Friday,February,AA,CLT,MIA,1325,26,5,1535,94,650,Charlotte, NC,Miami, FL,Partly cloudy,9,6,SW,7,9,0.0,41,6,30,-3,10,3,Patchy rain possible,21,13,ESE,13,22,0.0,63,6,30,15,61,5
2019-11-01,Friday,November,AA,DFW,FSD,1854,20,5,2100,99,737,Dallas/Fort Worth, TX,Sioux Falls, SD,Clear,9,11,SSE,18,7,0.0,55,6,30,0,3,1,Moderate or heavy snow showers,2,12,NW,17,-2,0.0,81,4,30,-1,70,1
2019-06-01,Saturday,June,AA,PHX,BOS,1237,28,10,2037,274,2300,Phoenix, AZ,Boston, MA,Sunny,32,8,SSE,9,32,0.0,16,6,30,3,0,8,Clear,17,9,S,12,17,0.0,79,6,30,14,10,1
2019-10-01,Tuesday,October,AA,CAE,CLT,641,12,6,746,24,88,Columbia, SC,Charlotte, NC,Partly cloudy,24,6,ENE,10,24,0.0,89,6,30,22,59,6,Light rain shower,22,5,E,6,22,0.0,96,6,30,22,78,5
2019-04-29,Monday,April,AA,JFK,LAX,1200,18,7,1522,337,2475,New York, NY,Los Angeles, CA,Sunny,14,9,SE,10,13,0.0,37,6,30,-0,8,4,Cloudy,20,8,S,10,20,0.0,52,6,30,10,86,4
2019-04-29,Monday,April,AA,LAX,JFK,1100,13,9,1934,288,2475,Los Angeles, CA,New York, NY,Partly cloudy,16,5,S,6,16,0.0,67,6,30,10,35,5,Partly cloudy,11,10,SE,12,9,0.0,58,6,30,3,47,1
2019-09-01,Sunday,September,AA,DFW,LAX,712,12,8,836,159,1235,Dallas/Fort Worth, TX,Los Angeles, CA,Sunny,23,3,SE,4,23,0.0,86,6,30,21,10,6,Sunny,25,3,SW,4,25,0.0,70,6,30,19,10,6
2019-05-01,Wednesday,May,AA,MCI,PHL,1058,10,7,1439,132,1038,Kansas City, MO,Philadelphia, PA,Cloudy,12,4,WNW,6,12,0.0,93,6,30,11,85,3,Overcast,17,9,ESE,11,17,0.0,65,6,30,10,96,4
2019-04-29,Monday,April,AA,JFK,LAX,800,16,17,1127,349,2475,New York, NY,Los Angeles, CA,Sunny,9,6,NNE,7,7,0.0,52,6,30,-1,7,3,Partly cloudy,16,5,S,6,16,0.0,67,6,30,10,35,5
2019-02-01,Friday,February,AA,LAX,SAT,1905,19,5,2357,140,1211,Los Angeles, CA,San Antonio, TX,Patchy rain possible,15,5,SE,5,16,0.0,71,6,30,10,75,1,Patchy rain possible,14,4,E,14,15,0.0,74,6,30,13,88,1
2019-07-01,Monday,July,AA,TUL,LAX,1843,16,8,2011,164,1283,Tulsa, OK,Los Angeles, CA,Patchy rain possible,28,7,SSE,9,28,0.1,74,5,30,23,10,1,Clear,26,9,SW,10,26,0.0,46,6,30,13,0,1
2019-06-01,Saturday,June,AA,DFW,TUL,1240,17,3,1347,45,237,Dallas/Fort Worth, TX,Tulsa, OK,Patchy light rain with thunder,32,8,S,11,32,0.1,51,6,30,20,11,7,Sunny,30,10,SSW,12,30,0.0,57,6,30,20,7,7
2019-02-01,Friday,February,AA,BOS,ORD,1253,20,8,1454,133,867,Boston, MA,Chicago, IL,Partly cloudy,-11,11,W,10,-18,0.0,37,6,30,-22,15,2,Light snow,-10,4,SSE,7,-12,0.0,72,6,30,-13,92,1
2019-11-01,Friday,November,AA,MAF,DFW,1021,17,16,1140,51,309,Midland/Odessa, TX,Dallas/Fort Worth, TX,Sunny,4,14,S,28,0,0.0,35,6,30,-10,0,2,Sunny,2,9,S,19,-3,0.0,58,6,30,-6,0,2
2019-07-01,Monday,July,AA,SAN,LAX,1500,15,6,1557,26,109,San Diego, CA,Los Angeles, CA,Sunny,25,8,W,10,25,0.0,53,6,30,15,3,7,Sunny,29,7,SSW,8,29,0.0,36,6,30,12,4,7
2019-01-01,Tuesday,January,AA,MLB,CLT,1353,7,3,1541,74,490,Melbourne, FL,Charlotte, NC,Partly cloudy,25,8,S,5,25,0.0,66,6,30,19,42,7,Partly cloudy,21,6,WSW,14,21,0.0,70,6,30,15,29,6
2019-09-01,Sunday,September,AA,DFW,HNL,1120,17,4,1435,447,3784,Dallas/Fort Worth, TX,Honolulu, HI,Sunny,23,3,SE,4,23,0.0,86,6,30,21,10,6,Partly cloudy,28,12,ENE,14,28,0.0,64,6,30,21,29,7
2019-08-01,Thursday,August,AA,PHX,OMA,854,16,4,1337,127,1037,Phoenix, AZ,Omaha, NE,Patchy rain possible,32,4,WNW,5,32,0.1,48,5,30,20,20,7,Partly cloudy,26,11,ESE,13,26,0.0,73,6,30,21,28,7
2019-08-01,Thursday,August,AA,LGA,DFW,629,47,17,917,178,1389,New York, NY,Dallas/Fort Worth, TX,Patchy rain possible,25,8,N,10,25,0.0,66,5,30,18,7,5,Sunny,25,7,SSE,13,25,0.0,83,6,30,22,4,6
2019-05-01,Wednesday,May,AA,IND,CLT,1357,15,9,1537,72,427,Indianapolis, IN,Charlotte, NC,Overcast,20,19,SW,28,20,0.0,82,6,30,17,91,4,Light rain shower,26,7,SSW,8,26,0.0,65,6,30,18,60,6
2019-05-01,Wednesday,May,AA,CLT,IND,1140,22,5,1327,70,427,Charlotte, NC,Indianapolis, IN,Sunny,19,6,SSW,9,19,0.0,87,6,30,17,24,5,Overcast,20,19,SW,28,20,0.0,82,6,30,17,91,4
2019-10-01,Tuesday,October,AA,DCA,CAE,724,8,4,856,63,408,Washington, DC,Columbia, SC,Partly cloudy,20,4,SSE,5,20,0.0,78,6,30,16,45,5,Partly cloudy,24,6,ENE,10,24,0.0,89,6,30,22,59,6
2019-05-01,Wednesday,May,AA,EYW,MIA,704,10,6,749,29,126,Key West, FL,Miami, FL,Partly cloudy,25,22,ENE,31,25,0.0,77,6,30,21,27,7,Light rain shower,25,19,ENE,25,25,0.0,69,6,30,19,55,6
2019-09-01,Sunday,September,AA,HNL,DFW,1720,15,7,546,404,3784,Honolulu, HI,Dallas/Fort Worth, TX,Partly cloudy,28,12,ENE,14,28,0.0,64,6,30,21,29,7,Clear,24,5,SE,9,24,0.0,80,6,30,20,9,1
2018-07-01,Sunday,July,AS,SEA,YKM,1400,17,4,1444,25,103,Seattle, WA,Yakima, WA,Light rain shower,18,3,S,3,18,0.0,66,6,30,12,58,4,Sunny,26,7,WNW,8,26,0.0,23,6,30,3,5,7
2018-10-01,Monday,October,AS,SEA,JFK,2140,30,36,604,268,2422,Seattle, WA,New York, NY,Patchy light drizzle,14,5,SSE,8,13,0.0,95,3,30,13,53,1,Partly cloudy,19,7,SW,8,19,0.0,78,6,30,15,26,5
2018-10-01,Monday,October,AS,ANC,DUT,1515,14,3,1730,133,792,Anchorage, AK,Unalaska, AK,Sunny,10,4,NNW,6,10,0.0,74,6,30,6,0,4,Light rain,9,30,WNW,43,5,0.1,87,5,29,7,85,2
2018-09-01,Saturday,September,AS,DUT,ANC,1630,8,7,1900,127,792,Unalaska, AK,Anchorage, AK,Cloudy,10,4,NW,8,9,0.0,89,6,30,8,86,3,Clear,14,3,WSW,5,15,0.0,71,6,30,9,3,1
2018-02-01,Thursday,February,AS,SJC,TUS,1722,11,4,2034,97,722,San Jose, CA,Tucson, AZ,Sunny,23,5,N,6,23,0.0,30,6,30,5,7,6,Clear,24,7,NW,11,24,0.0,10,6,30,-10,0,1
2018-05-01,Tuesday,May,AS,DAL,DCA,1328,17,9,1716,148,1184,Dallas, TX,Washington, DC,Light drizzle,22,12,SSE,17,22,0.0,80,1,30,19,100,5,Sunny,26,6,W,7,26,0.0,19,6,30,1,5,7
2018-12-01,Saturday,December,AS,BOS,SEA,1850,16,15,2223,314,2496,Boston, MA,Seattle, WA,Partly cloudy,3,3,SE,5,3,0.0,74,6,30,-1,26,1,Mist,3,1,WSW,2,3,0.0,96,1,30,3,78,1
2018-08-01,Wednesday,August,AS,DCA,SEA,803,12,11,1058,313,2329,Washington, DC,Seattle, WA,Light rain shower,24,6,SSW,7,24,0.0,90,6,30,22,47,5,Partly cloudy,16,4,S,5,16,0.0,88,6,30,14,62,5
2018-06-01,Friday,June,AS,SEA,ALW,1725,12,3,1819,40,213,Seattle, WA,Walla Walla, WA,Sunny,18,6,SSW,7,18,0.0,43,6,30,5,19,5,Clear,17,1,W,3,17,0.0,49,6,30,6,12,1
2018-04-01,Sunday,April,AS,PDX,BOI,1840,20,4,2050,47,344,Portland, OR,Boise, ID,Moderate rain at times,6,8,NW,12,3,0.1,76,4,30,2,16,1,Partly cloudy,23,5,W,7,23,0.0,70,6,30,18,38,1
2018-09-01,Saturday,September,AS,YKM,SEA,500,8,3,540,27,103,Yakima, WA,Seattle, WA,Clear,12,9,WNW,19,10,0.0,65,6,30,6,5,1,Partly cloudy,13,1,E,2,13,0.0,91,6,30,12,39,1
2018-11-01,Thursday,November,AS,SEA,DCA,800,38,3,1615,271,2329,Seattle, WA,Washington, DC,Moderate rain,14,8,S,13,13,0.1,96,4,30,13,100,3,Sunny,25,12,SSW,14,25,0.0,48,6,30,13,2,6
2018-08-01,Wednesday,August,AS,DCA,SEA,1855,26,18,2153,326,2329,Washington, DC,Seattle, WA,Clear,29,7,S,11,29,0.0,67,6,30,22,21,1,Clear,23,1,WSW,1,23,0.0,67,6,30,16,0,1
2018-01-01,Monday,January,AS,FLL,SEA,1831,25,6,2224,356,2717,Fort Lauderdale, FL,Seattle, WA,Partly cloudy,22,8,NNW,11,22,0.0,68,6,30,16,27,1,Clear,3,3,NNE,6,2,0.0,86,6,30,1,10,1
2018-07-01,Sunday,July,AS,PDX,RDM,2120,9,2,2200,26,116,Portland, OR,Bend/Redmond, OR,Clear,18,8,NNW,10,18,0.0,53,6,30,9,5,1,Clear,19,14,NNW,19,19,0.0,39,6,30,4,3,1
2018-02-01,Thursday,February,AS,AUS,SJC,1445,12,4,1640,207,1476,Austin, TX,San Jose, CA,Partly cloudy,22,8,NW,9,22,0.0,55,6,30,12,32,6,Sunny,23,5,N,6,23,0.0,30,6,30,5,7,6
2018-06-01,Friday,June,AS,PDX,BZN,1654,6,5,1940,85,554,Portland, OR,Bozeman, MT,Partly cloudy,20,2,SW,2,20,0.0,40,6,30,6,38,6,Patchy light rain with thunder,11,12,W,13,9,0.1,65,6,30,5,33,1
2018-01-01,Monday,January,AS,SEA,FLL,830,21,5,1726,305,2717,Seattle, WA,Fort Lauderdale, FL,Partly cloudy,1,2,NE,5,-0,0.0,77,6,30,-3,29,2,Sunny,24,5,WSW,6,24,0.0,50,6,30,13,12,6
2018-05-01,Tuesday,May,AS,BUR,SJC,1326,11,7,1440,48,296,Burbank, CA,San Jose, CA,Cloudy,15,11,SSW,13,14,0.0,58,6,30,7,75,4,Sunny,21,7,WNW,8,21,0.0,41,6,30,7,4,6
2018-06-01,Friday,June,AS,YKM,SEA,500,6,5,539,30,103,Yakima, WA,Seattle, WA,Clear,8,8,W,15,5,0.0,67,6,30,2,9,1,Clear,8,5,SSE,7,7,0.0,92,6,30,7,15,1
2018-01-01,Monday,January,AS,MSP,SEA,1622,21,7,1828,188,1399,Minneapolis, MN,Seattle, WA,Partly cloudy,-20,4,WNW,5,-28,0.0,89,6,31,-22,37,2,Clear,3,3,NNE,6,2,0.0,86,6,30,1,10,1
2018-10-01,Monday,October,AS,DUT,ANC,1810,2,3,2040,133,792,Unalaska, AK,Anchorage, AK,Patchy light drizzle,9,28,WNW,42,5,0.0,78,3,30,6,39,1,Clear,8,2,NNE,3,10,0.0,78,6,30,7,2,1
2018-07-01,Sunday,July,AS,YKM,SEA,1523,4,9,1607,30,103,Yakima, WA,Seattle, WA,Sunny,26,7,WNW,8,26,0.0,23,6,30,3,5,7,Light rain shower,18,3,S,3,18,0.0,66,6,30,12,58,4
2018-05-01,Tuesday,May,AS,DAL,DCA,630,14,3,1018,150,1184,Dallas, TX,Washington, DC,Light drizzle,20,11,SSE,16,20,0.0,84,1,30,17,93,5,Sunny,15,4,WSW,5,15,0.0,48,6,30,4,0,4
